student_id,attendance,assignment_score,exam_score,final_grade,result
0,63,42,73,C,PASS
1,84,46,44,D,FAIL
2,78,91,53,D,PASS
3,77,62,54,D,PASS
4,96,78,75,B,PASS
5,85,57,66,C,PASS
6,53,54,49,D,PASS
7,55,80,98,A,PASS
8,65,59,83,B,PASS
9,59,83,93,A,PASS
10,87,83,65,C,PASS
11,64,60,87,B,PASS
12,70,88,78,B,PASS
13,85,87,80,B,PASS
14,65,94,61,C,PASS
15,97,96,86,B,PASS
16,81,98,44,D,FAIL
17,64,96,77,B,PASS
18,52,42,58,D,PASS
19,87,55,75,B,PASS
20,98,64,51,D,PASS
21,57,86,98,A,PASS
22,76,79,91,A,PASS
23,60,75,64,C,PASS
24,83,43,95,A,PASS
25,60,62,87,B,PASS
26,62,78,60,C,PASS
27,89,99,64,C,PASS
28,70,54,57,D,PASS
29,72,82,91,A,PASS
30,58,86,76,B,PASS
31,60,69,67,C,PASS
32,70,47,58,D,PASS
33,73,83,60,C,PASS
34,53,61,41,D,FAIL
35,83,72,93,A,PASS
36,99,76,99,A,PASS
37,94,60,57,D,PASS
38,55,68,40,D,FAIL
39,98,62,57,D,PASS
40,63,71,85,B,PASS
41,65,73,95,A,PASS
42,55,47,55,D,PASS
43,63,88,60,C,PASS
44,79,81,52,D,PASS
45,75,52,59,D,PASS
46,68,62,85,B,PASS
47,78,60,95,A,PASS
48,53,68,71,C,PASS
49,83,44,41,D,FAIL
50,80,59,98,A,PASS
51,74,65,65,C,PASS
52,60,48,50,D,PASS
53,92,53,90,A,PASS
54,53,96,88,B,PASS
55,58,62,85,B,PASS
56,77,89,61,C,PASS
57,84,63,42,D,FAIL
58,70,42,41,D,FAIL
59,78,94,77,B,PASS
60,50,94,69,C,PASS
61,97,79,82,B,PASS
62,74,48,92,A,PASS
63,84,47,57,D,PASS
64,82,60,82,B,PASS
65,76,82,95,A,PASS
66,71,77,58,D,PASS
67,69,98,73,C,PASS
68,79,87,99,A,PASS
69,94,50,90,A,PASS
70,54,98,68,C,PASS
71,74,54,78,B,PASS
72,74,49,47,D,PASS
73,94,73,74,C,PASS
74,50,47,99,A,PASS
75,74,63,57,D,PASS
76,57,79,54,D,PASS
77,84,56,94,A,PASS
78,78,73,78,B,PASS
79,91,80,62,C,PASS
80,74,69,97,A,PASS
81,61,84,67,C,PASS
82,98,96,78,B,PASS
83,66,87,62,C,PASS
84,79,89,53,D,PASS
85,91,67,78,B,PASS
86,57,44,66,C,PASS
87,60,46,96,A,PASS
88,76,60,78,B,PASS
89,71,97,56,D,PASS
90,69,41,71,C,PASS
91,88,80,88,B,PASS
92,72,43,65,C,PASS
93,79,69,81,B,PASS
94,71,40,61,C,PASS
95,66,92,51,D,PASS
96,59,56,70,C,PASS
97,82,57,52,D,PASS
98,97,58,49,D,PASS
99,64,45,89,B,PASS
100,75,96,62,C,PASS
101,91,48,78,B,PASS
102,57,74,46,D,PASS
103,71,69,67,C,PASS
104,93,67,74,C,PASS
105,81,78,81,B,PASS
106,98,52,87,B,PASS
107,79,81,40,D,FAIL
108,51,70,86,B,PASS
109,56,69,92,A,PASS
110,50,72,87,B,PASS
111,51,47,91,A,PASS
112,61,64,66,C,PASS
113,60,63,72,C,PASS
114,60,62,79,B,PASS
115,93,43,52,D,PASS
116,96,67,47,D,PASS
117,67,56,91,A,PASS
118,76,69,61,C,PASS
119,60,49,52,D,PASS
120,94,82,68,C,PASS
121,71,56,68,C,PASS
122,67,83,66,C,PASS
123,90,58,40,D,FAIL
124,55,57,58,D,PASS
125,67,93,61,C,PASS
126,99,50,89,B,PASS
127,75,65,65,C,PASS
128,60,41,77,B,PASS
129,81,74,63,C,PASS
130,61,50,69,C,PASS
131,55,55,54,D,PASS
132,80,66,45,D,PASS
133,71,50,64,C,PASS
134,88,81,92,A,PASS
135,88,96,63,C,PASS
136,63,85,54,D,PASS
137,76,53,76,B,PASS
138,78,95,78,B,PASS
139,59,71,40,D,FAIL
140,74,72,51,D,PASS
141,96,89,45,D,PASS
142,69,53,63,C,PASS
143,63,68,61,C,PASS
144,87,75,72,C,PASS
145,91,52,84,B,PASS
146,68,40,52,D,PASS
147,82,62,67,C,PASS
148,70,86,48,D,PASS
149,88,79,69,C,PASS
150,87,96,49,D,PASS
151,91,61,51,D,PASS
152,74,72,80,B,PASS
153,88,88,95,A,PASS
154,71,61,90,A,PASS
155,78,75,87,B,PASS
156,85,70,81,B,PASS
157,96,82,85,B,PASS
158,59,68,85,B,PASS
159,52,66,50,D,PASS
160,89,88,90,A,PASS
161,91,79,40,D,FAIL
162,99,50,77,B,PASS
163,97,91,97,A,PASS
164,89,58,90,A,PASS
165,99,70,99,A,PASS
166,61,70,72,C,PASS
167,78,41,87,B,PASS
168,93,64,95,A,PASS
169,90,82,70,C,PASS
170,79,75,55,D,PASS
171,74,81,69,C,PASS
172,58,80,58,D,PASS
173,71,86,78,B,PASS
174,51,85,53,D,PASS
175,72,57,64,C,PASS
176,95,82,73,C,PASS
177,67,41,90,A,PASS
178,87,69,86,B,PASS
179,51,93,51,D,PASS
180,82,61,70,C,PASS
181,89,71,59,D,PASS
182,80,78,43,D,FAIL
183,65,79,99,A,PASS
184,64,63,48,D,PASS
185,74,94,42,D,FAIL
186,65,62,75,B,PASS
187,75,93,79,B,PASS
188,53,98,69,C,PASS
189,53,82,98,A,PASS
190,64,98,94,A,PASS
191,84,98,45,D,PASS
192,53,44,58,D,PASS
193,52,97,58,D,PASS
194,75,93,46,D,PASS
195,76,65,70,C,PASS
196,69,94,47,D,PASS
197,63,55,59,D,PASS
198,96,40,70,C,PASS
199,74,75,71,C,PASS
200,59,47,71,C,PASS
201,91,69,63,C,PASS
202,79,48,64,C,PASS
203,84,60,70,C,PASS
204,87,43,97,A,PASS
205,53,54,69,C,PASS
206,69,60,65,C,PASS
207,87,47,64,C,PASS
208,96,83,69,C,PASS
209,55,71,66,C,PASS
210,56,58,42,D,FAIL
211,57,58,58,D,PASS
212,50,51,73,C,PASS
213,52,90,74,C,PASS
214,59,71,69,C,PASS
215,60,41,57,D,PASS
216,57,70,42,D,FAIL
217,76,83,92,A,PASS
218,73,69,96,A,PASS
219,60,80,94,A,PASS
220,85,48,83,B,PASS
221,52,60,78,B,PASS
222,85,56,90,A,PASS
223,71,43,64,C,PASS
224,50,60,69,C,PASS
225,66,54,88,B,PASS
226,82,65,53,D,PASS
227,83,40,51,D,PASS
228,64,90,97,A,PASS
229,90,86,66,C,PASS
230,50,63,91,A,PASS
231,54,65,41,D,FAIL
232,95,99,54,D,PASS
233,55,65,44,D,FAIL
234,74,87,96,A,PASS
235,86,95,50,D,PASS
236,86,46,83,B,PASS
237,53,92,87,B,PASS
238,69,52,78,B,PASS
239,83,91,92,A,PASS
240,57,99,92,A,PASS
241,57,86,57,D,PASS
242,61,90,97,A,PASS
243,58,98,63,C,PASS
244,65,52,97,A,PASS
245,71,60,76,B,PASS
246,80,91,60,C,PASS
247,77,73,81,B,PASS
248,80,69,86,B,PASS
249,68,97,95,A,PASS
250,59,78,61,C,PASS
251,63,65,81,B,PASS
252,75,96,79,B,PASS
253,92,44,74,C,PASS
254,94,85,48,D,PASS
255,64,82,59,D,PASS
256,61,96,49,D,PASS
257,84,84,85,B,PASS
258,56,53,90,A,PASS
259,65,69,52,D,PASS
260,84,74,69,C,PASS
261,69,67,50,D,PASS
262,59,55,95,A,PASS
263,60,74,92,A,PASS
264,58,69,57,D,PASS
265,79,52,64,C,PASS
266,90,62,87,B,PASS
267,83,83,44,D,FAIL
268,69,56,99,A,PASS
269,97,61,58,D,PASS
270,67,72,79,B,PASS
271,73,65,67,C,PASS
272,76,90,75,B,PASS
273,70,99,53,D,PASS
274,63,60,75,B,PASS
